years,months,Bahawalpur,Rahim Yar Khan,Dera Ghazi Khan,Layyah,Muzaffargarh,Taunsa,Faisalabad,Jhang,Toba Tek Singh,Gujrat,Hafizabad, Mandi Bahauddin,Gujranwala,Narowal,Sialkot,Lahore, Nankana Sahib,Kasur,Sheikhupura,Bhakkar,Mianwali,Khanewal,Multan,Vehari,Attock,Rawalpindi,Jhelum,Sahiwal,Pakpattan,Okara,Khushab,Sargodha
1982,1,0.923580019,0.691187849,1.13728453,0.764958039,0.727468478,1.44140557,0.379898611,-0.21889424,0.322506681,0.217966091,0.503398662,0.408733456,0.381461099,0.027110988,0.217966091,0.442366317,0.585434159,0.571795708,0.585434159,0.337892617,-0.571495698,0.188525462,0.727468478,0.249957009,-0.44143604,-0.172334373,0.358075251,0.133816037,0.444627204,0.594155981,-0.480476092,0.04770528
1982,2,1.903919708,2.013901551,1.997409411,1.165956234,1.630008886,1.905558259,1.674777397,1.310348254,1.187188132,2.158283908,2.045324293,2.413505693,1.688696754,1.484596698,2.158283908,1.376320862,1.704310168,1.312994462,1.704310168,1.486962687,2.391325057,1.07370116,1.630008886,1.111374676,2.585939084,2.391940065,2.689172806,1.013946988,1.409538352,1.454265041,2.023176581,1.57263184
1982,3,1.578946525,1.640766936,1.882636448,1.905261442,1.743974436,1.879434209,2.274208499,2.04927357,2.089340501,2.117592976,2.209984136,2.139832978,2.019888658,1.97141962,2.117592976,2.083576701,2.094603555,2.05496847,2.094603555,1.991554423,1.632211409,1.887962686,1.743974436,1.743326063,1.201228366,1.499664398,1.913368753,1.913017915,1.978213165,2.148318619,2.003375273,2.024466225
1982,4,1.633970433,1.384798299,1.618273284,1.418731375,1.555284745,1.589659795,1.820298583,1.721030247,1.550862104,1.777333746,1.822397016,1.618879491,1.896315766,1.832416307,1.777333746,1.928873087,1.821707731,2.034316356,1.821707731,1.456428926,1.436468251,1.612033883,1.555284745,1.547303984,1.301114073,1.781570288,1.70842678,1.61937303,1.812086658,1.91974456,1.655265229,1.738764008
1982,5,1.758536603,1.804844181,1.618547156,1.307484629,1.311443347,1.495878123,0.827934932,0.781214807,0.83358436,0.667090334,0.765438902,0.569317754,0.639878196,0.714250291,0.667090334,0.948501753,0.85162742,1.115647801,0.85162742,1.562088121,1.075982859,1.189849918,1.311443347,1.134127591,0.736681764,0.912998011,0.722495061,0.783965781,1.073265623,1.122212844,0.680870512,0.552489362
1982,6,0.14541964,-0.609147058,-0.882009205,-0.295028793,-0.818952333,-0.940371582,0.953916295,0.863905947,0.73335977,-0.234177199,0.342082265,-0.005479706,-0.01303507,-0.296566552,-0.234177199,0.139224776,0.555482288,0.244245189,0.555482288,0.14990209,-0.168490985,-0.154265625,-0.818952333,0.253600701,-0.761420869,-0.656095089,-0.340647451,0.364388045,0.615121126,0.641092231,0.488862502,0.961673348
1982,7,-0.746573191,0.393614589,0.259016036,0.853040169,-0.818952333,0.569104831,-0.30741499,0.138502793,0.100091258,0.53915711,0.113518967,0.666962242,0.341318196,0.451505575,0.53915711,-0.013933092,-0.19655426,0.412099735,-0.19655426,1.156580805,0.256750277,0.158460105,-0.818952333,-0.946693163,-0.338366066,0.287035598,0.689890694,-0.235368177,-1.040107773,-0.266496872,0.236829192,0.180036673
1982,8,1.679206332,0.412325107,1.503030015,1.37156652,1.472712455,1.595023795,1.760259668,1.697246533,1.552666257,1.264744677,1.548781425,1.458502908,1.375224867,1.244169814,1.264744677,1.395044323,1.594922852,1.347460704,1.594922852,1.493190355,0.976144187,1.191266859,1.472712455,1.609355611,0.521973493,1.056017274,1.253075656,1.458814184,1.458081374,1.656724229,1.59001518,1.714062248
1982,9,-0.746573191,-0.609147058,-0.882009205,-0.952180139,-0.818952333,-0.940371582,-1.13945212,-1.123758315,-1.103836399,-0.467262613,-0.764046879,-0.641134114,-0.787606215,-0.813986485,-0.467262613,-1.133246905,-1.119638941,-1.137683665,-1.119638941,-0.985575526,-1.295278345,-0.966998786,-0.818952333,-0.946693163,-1.04675154,-0.48825358,-0.757280958,-1.034773552,-1.040107773,-1.087550351,-1.324459869,-1.127639423
1982,10,0.625851159,1.058782157,0.62698096,0.423648155,0.090346838,0.740356727,-0.49162883,-0.098015814,-0.330222173,-0.423262831,-0.439299509,-0.237628312,-0.758316142,-0.533180022,-0.423262831,-1.133246905,-0.562126618,-1.137683665,-0.562126618,0.814538814,-0.454160636,-0.047625978,0.090346838,-0.946693163,-2.515517,-0.578334438,-0.251888143,-0.106084351,-1.040107773,-1.087550351,-0.35795724,-0.517734228
1982,11,-0.746573191,-0.609147058,-0.882009205,-0.103656028,-0.818952333,0.012605713,-0.044831307,-0.354210506,-0.238455315,0.080946577,0.05920749,-0.296242323,0.349427261,0.363324572,0.080946577,0.53157022,0.080307962,0.411667604,0.080307962,-0.21329728,0.42763745,-0.966998786,-0.818952333,-0.946693163,0.462492123,-0.328271923,-0.442718635,-0.01289878,-0.088373062,0.233472068,-0.254291236,-0.443344957
1982,12,0.431483924,1.02706429,1.408137095,1.608862507,0.929898139,1.649041691,0.540287345,1.077732864,0.935809787,0.416754805,0.504233947,0.718955726,0.262692969,0.032763525,0.416754805,0.072647274,0.397733094,-0.086727434,0.397733094,1.797258727,1.181485532,1.014819957,0.929898139,0.183072734,0.374248933,0.753734366,0.775426227,0.459955198,0.373046524,0.079843305,0.80559917,0.816370885
