Substance,ISO,Country,Subnational code *,Subnational desc,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_GHG,ABW,Aruba,,,220.31767789303,246.857486759,272.00113256349,273.55913981285,309.06805266266,338.72213189626,229.57569135176,368.72148363358,377.76044262632,382.73508173098,348.03314619048,351.0933622658,376.48610365328,426.81025852753,441.15869321368,478.27319877944,487.73812420836,522.82749914674,515.30151916293,550.7351851186,528.9147747881,340.91756471299,405.71470348903,440.53677564782,469.92312834595,491.51642823956,515.0733614816,496.68832510882,494.96691759112,540.01348922373,519.08072717292,538.33479944398,567.49202966932,569.50278847654,588.71640278437
GWP_100_AR5_GHG,AFG,Afghanistan,,,12931.551907152,13013.9590178,12065.810261226,12186.092408755,12247.310633368,12463.462990516,13735.236089893,14797.39853187,15647.833388965,16508.477865401,14364.94047162,12628.446199973,15228.57195038,15857.564956621,15993.336269049,16144.91309459,16338.498178131,17511.647293268,20859.991932454,23862.502192454,27768.531219617,31898.807267665,29759.348225404,28131.944212952,28354.538031038,28093.08461619,27164.741407716,30474.594817225,31935.810418147,32436.16844578,32400.167958631,32835.845915722,31912.13908326,32435.1067419,33034.840089668
GWP_100_AR5_GHG,AGO,Angola,,,34084.534207584,33399.062463992,32661.4331455,36630.457421049,47405.674117287,54625.322823444,65542.517901029,67282.006905759,73101.045088935,73837.685792027,68933.003919726,67211.380261429,64921.622157878,65375.925232362,70639.252424552,68698.807817794,61220.942950481,59728.509631686,63036.149427156,64538.423691257,71664.962622102,70561.935977477,72492.007002206,77026.251777733,78997.615616043,83536.857859532,80625.50776334,75433.642680212,70465.116025569,71208.749443621,63159.221101756,66601.919421159,68035.237043701,68280.785052324,69922.938779033
GWP_100_AR5_GHG,AIA,Anguilla,,,7.9697804930574,9.5251596272412,9.8964069971744,12.027199350268,15.335163432849,18.773384899565,18.620669716419,15.908512270304,14.769405094532,14.082324491738,17.88997799324,18.437401879825,13.278011326023,16.661254167253,16.071790095026,16.328907231431,15.512027314156,15.06413999675,18.104828438473,23.189188167567,27.190600881657,29.273999145927,29.319386547653,31.312684926867,31.292951744315,31.417667438233,31.81268102582,32.560698188558,31.682045383717,31.036684467285,26.124833006615,25.313813010737,25.155856380511,25.157583778709,26.035166405695
GWP_100_AR5_GHG,AIR,International aviation,,,264256.68447704,257138.93563724,265696.54312255,270898.59408591,284816.87911951,295649.07021944,307733.57073826,322567.85468302,333351.50347321,347522.93619549,360037.45404435,353823.78968504,374406.67380989,372288.41261156,408435.37910648,434717.49753074,450182.98125884,465329.7605454,472535.14833205,449629.6157452,475334.23488585,488254.15434494,490417.29214884,498900.38438712,513857.05595312,543596.04084607,567905.92565966,597733.3715362,623932.39847463,633217.05347498,299636.33431364,330748.40748504,477751.47795964,578330.73647746,622334.162079
GWP_100_AR5_GHG,ALB,Albania,AL01,Veri,3733.8073903127,2905.2970632266,1962.3963413932,1949.4979848473,2175.3874783667,2065.738470823,2018.5569797868,1775.5687312017,1840.8531032524,2329.1290503556,2389.5258160783,2471.2017291676,2649.8284375921,2753.2817796773,2814.7669818791,2659.9617419153,2745.2459086053,2764.5677504019,2683.6471924844,2860.592922063,3113.8418406737,3320.0249886937,3155.2393476396,3199.0392325862,3291.5096025682,3278.5495898505,3061.4071693801,3528.9251446362,3538.7980047865,3253.359519958,3181.1380788083,3424.9904293015,2955.033989728,2785.2226230358,2740.3112141133
GWP_100_AR5_GHG,ALB,Albania,AL02,Qender,3553.8197489845,2798.9563066755,1677.4628031749,1695.3052954486,1794.5924638176,1680.4064530182,1626.1304959128,1407.5552408362,1506.627644908,1759.6830300132,1804.7308088236,1874.7094082963,1960.0689881422,2086.2294361064,2135.6022843624,2012.6171650607,2009.9256193804,1986.7274846021,1897.750003076,1899.4832217876,2003.3344177619,2101.7985855973,1992.5063278337,1992.8299148312,2209.2034432092,2095.2969685525,2028.9974582555,2315.9933770972,2452.7922968381,2246.5612107767,2130.9976997624,2396.5279802617,2141.9541072928,2143.2086078578,2116.7088709358
GWP_100_AR5_GHG,ALB,Albania,AL03,Jug,4210.7333332084,3348.3320093446,2531.491781929,2564.5298329249,2937.2791574881,2803.2647469875,2637.6991469611,2346.0996109601,2441.4122528512,2852.0085209501,2940.0357875244,2969.910351452,3271.2112018532,3273.5611306032,3336.7538679634,3194.5567313401,3153.6909466957,3117.7996204046,3042.963531122,2973.4835796915,2927.6622215843,3018.7412775973,2971.7626866898,3143.9726001343,3309.7678239869,3284.2978534169,3176.6875311449,3238.5298007525,3105.3068603446,3051.2172316937,2579.7593502036,2563.0593048938,2491.5236987971,2227.3873545697,2164.4490230051
GWP_100_AR5_GHG,ALB,Albania,,,,,,,,,,,,57.7090009372,63.3892780758,69.5530498982,125.8128469112,82.121545708,116.1421229288,125.7475412188,128.8286221954,123.6855648312,155.711077866,29.610288961,26.649508052,64.0510260696,57.645987813,101.8745203158,108.2798728416,105.198791865,108.2965685946,111.2087031648,94.1551870068,115.1070572406,105.3001566576,111.7051949142,109.1067551646,105.42856501679,102.84145906742
GWP_100_AR5_GHG,ANT,Curaçao,,,2844.0708178238,2946.7087818929,3080.6151716391,2557.6695145967,2865.9633732424,2872.7152719324,2902.7217544292,5523.7336210845,5712.968863836,5663.8057995268,5886.1424369801,5885.3413593818,5625.4343217576,5636.3745444351,5855.1906979961,6138.0761277358,5996.1158288398,6483.448643498,6416.0381604317,6084.2401627396,4440.3869372282,5713.5142519207,5800.3136240628,5330.1914308806,5871.3775695455,5936.9467262092,5161.7289447695,4161.296735615,3368.9648128614,2610.5129067609,2193.6295977255,2333.7414590687,2410.1833527464,2404.4571947322,2492.6653897091
