Substance,ISO,Country,Subnational code *,Subnational desc,Sector,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
GWP_100_AR5_F-gases,AFG,Afghanistan,,,Industry,0.170367005,1.109188974,1.75450834,2.83194445,6.663274368,11.442707,17.95062321,24.772766892,33.714115862,49.1649444334,89.241773704,122.255480834,153.938479893,190.15765944,226.76874071,270.851107899,285.779993063,291.898328591,303.551721372,313.787408987,311.941629374,314.093982197,320.281128474,329.182522263,358.812736416,396.512663263,452.375560339,507.475709809,574.910306233,634.376187223,695.043062851,757.565513865,818.45058307567,879.80871502656,940.93031560733
GWP_100_AR5_F-gases,AGO,Angola,,,Industry,0.1330352560042,0.775925166872,1.21620891966,1.94055017474,4.54833200352,7.803916524,12.2857624662,16.9785593204,23.117191489,33.6656199044,61.054585461,84.041539872,106.3815522144,131.536082925,157.542027707,189.87861507,200.885954141,205.80618219,214.486948922,221.441133488,220.18710412,221.649424107,225.853001186,231.900658289,252.031587382,277.645130372,315.598689094,353.03403372,398.84947283,439.250920316,480.46833072333,522.94642972445,564.31208202259,605.99913592479,647.52548902497
GWP_100_AR5_F-gases,ALB,Albania,AL01,Veri,Industry,0.32246551671208,0.50810993244476,0.7330475314359,1.1913648755375,2.0528120988952,3.0869263322094,4.019210812398,3.9786071002075,5.06226816541,6.8098874624935,10.479667699399,13.78887606253,16.521015077406,20.201070345276,24.000551427398,28.502882531757,28.813713738666,28.164703293735,28.381601967407,29.252933426368,29.097870961455,29.278688786658,29.798463937183,30.9734233208,33.497432728806,36.70885018565,41.467453897011,46.161085630177,52.56141920563,57.690959991323,62.924099183762,68.317300628473,73.569261102754,79.729531247506,85.059892394997
GWP_100_AR5_F-gases,ALB,Albania,AL02,Qender,Industry,0.39734302983983,0.6260946662076,0.90326348729378,1.5567893291732,2.6824661663085,4.0337717458384,5.2520135794804,5.1989555893038,7.0128896415133,9.4339113782851,14.51775185633,19.102082889992,22.886984987339,27.7627301899,32.984432126562,39.172074738536,39.59925620885,38.70730832861,38.655362630601,39.842104434543,39.630911429353,39.877182891103,40.585109700625,41.774605867351,45.17879845959,49.510114928736,55.928158955129,62.258573701626,70.470780709669,77.348120578209,84.364358153736,91.595196325102,98.636668196913,105.89199346743,112.9714602469
GWP_100_AR5_F-gases,ALB,Albania,AL03,Jug,Industry,0.22645484572809,0.35682561514764,0.51479044127033,0.8441323212893,1.4545040547963,2.1872176559523,2.8477805771216,2.8190111324887,3.5921220680768,4.8322108264214,7.4362409060712,9.7844137014776,11.723105317115,13.675479183824,16.24760648004,19.295540784707,19.505963580485,19.066604245656,18.319805132993,18.882233658089,18.782143672192,18.898858272239,19.234363628192,19.118876786849,20.676864884604,22.659167390614,25.596497148861,28.493721839197,30.918797859702,33.936205628801,37.014554259947,40.187058119351,43.276478205901,45.363256559711,48.396041733613
GWP_100_AR5_F-gases,ARE,United Arab Emirates,,,Industry,714.539618694,877.098901172,926.589946668,920.068848736,988.70782547,832.963576938,1045.331758572,1298.04206839,1550.717016184,1988.42379811,3062.2924613,3822.785294043,4599.01367881,5489.23054313,6438.488826366,7438.148701984,7889.844145318,8265.86944082,8381.93272784,8641.124071109,8740.104848504,8935.008916636,9064.085143471,9291.552201124,10067.518800968,11112.749820525,12403.132434111,13774.526869765,15423.077130011,16887.220443527,18290.041131402,19827.884667918,21328.880361739,22809.433667809,24300.208167755
GWP_100_AR5_F-gases,ARG,Argentina,,,Industry,2298.573428188,2323.989157574,261.444636072,373.19758613,453.667500876,312.503319198,435.269462392,563.801944304,854.177945522,998.375531494,1757.979513124,2280.550478452,2985.368022724,3794.646037948,4590.250588151,5474.996056429,5913.153363134,5141.56482717,5298.139946861,5446.106319786,5411.063022529,5471.698421531,5577.10496837,6089.282069211,7073.151539056,7789.780107073,8724.628339715,9664.819754777,10814.205767841,11820.265902647,12840.237586991,13904.083132146,14940.147486532,15980.108014493,17018.120455667
GWP_100_AR5_F-gases,ARM,Armenia,,,Industry,5.93744749968,11.987463152,6.956683778,8.3278302,12.900827532,18.502602907,22.339193711,24.615990926,29.839762892,36.0629428328,50.6947682816,66.9985049764,84.7647729183,107.544689266,133.206589049,170.396533954,179.77535549,182.123671976,186.105318623,191.300976514,190.756255169,191.391452812,193.217382759,195.844330512,204.588703342,215.714587134,232.200664932,248.461641558,268.362720688,285.91209853933,303.81590974178,322.2673324697,340.23553639694,358.34334901614,376.38135728936
GWP_100_AR5_F-gases,ATG,Antigua and Barbuda,,,Industry,0.28162973221,0.4031390911,0.5388419828,0.75479366,1.063847132,1.200302502,1.431471188,1.564467466,1.75854662,1.95901118,2.08970656,2.11402714,2.01971954,2.00007398,2.129054,2.26169604,1.045829518,0.58856886,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074,0.45691074
GWP_100_AR5_F-gases,AUS,Australia,,,Industry,5148.0998830227,5299.6525740747,5426.3898421348,5765.3864504748,5183.4264062215,4355.066473496,3916.2279835051,4058.9476911239,4407.2567803123,4741.5324721277,4927.5273912602,4889.8253321504,5466.9012386096,5736.3324406509,6381.2056614609,5795.5886948884,5490.0730768417,6721.409007554,6358.895597378,6739.9812409784,7031.2546500976,7950.4156578044,8278.3180238045,8653.8796328821,9077.6660502102,9786.3669381976,10257.323615123,10290.620404349,10285.786877244,10935.187806244,11251.030558571,11548.473097774,11954.84634503,12294.732524625,12667.862238051
