years,months,Bahawalpur,Rahim Yar Khan,Dera Ghazi Khan,Layyah,Muzaffargarh,Taunsa,Faisalabad,Jhang,Toba Tek Singh,Gujrat,Hafizabad, Mandi Bahauddin,Gujranwala,Narowal,Sialkot,Lahore, Nankana Sahib,Kasur,Sheikhupura,Bhakkar,Mianwali,Khanewal,Multan,Vehari,Attock,Rawalpindi,Jhelum,Sahiwal,Pakpattan,Okara,Khushab,Sargodha
1982,1,1.454776874,1.404925578,1.487136175,1.34875468,1.302450351,1.630792443,1.176051623,1.069660577,1.210520746,0.668592247,1.064258076,0.881734412,0.851983393,0.627777225,0.627777225,1.01624628,1.23695933,1.196756072,1.202665344,1.240019361,0.821008418,1.178086479,1.302115254,1.213476102,0.552586632,0.552586632,0.852867388,1.184416386,1.241935787,1.286934421,0.852756439,1.023918058
1982,2,1.665746426,1.724402957,1.889958845,1.301239911,1.526923448,1.722655385,1.92435677,1.508387161,1.380368627,2.532873999,2.651829988,3.282627776,1.927719635,1.552537963,1.552537963,1.559644386,2.009399581,1.51908447,2.171972673,1.521002698,3.211247517,1.270895068,1.525679272,1.297566291,2.662645835,2.662645835,2.368979047,1.25621731,1.479040354,1.673276224,2.259234449,1.784742844
1982,3,0.459232835,0.462558929,0.838288967,0.855829435,0.697286371,0.850104219,1.958778526,1.412449341,1.237636161,2.181380047,2.526506798,2.317873257,2.06311596,1.942663469,1.942663469,2.125180965,1.972745044,1.834890712,2.112746102,1.046473269,1.061859822,0.926275614,0.696795929,0.788897422,0.855046037,0.855046037,1.625222957,0.976469082,1.088058154,1.70925526,1.679249839,1.532013988
1982,4,-0.205318654,-0.378104424,0.239465851,-0.00161471,0.001768046,0.279039455,0.706840702,0.472568778,0.231278036,1.570811843,1.236037454,1.118040972,1.560991119,1.562339936,1.562339936,1.399001231,0.968117071,1.267448577,0.921811409,0.046597474,0.351284305,0.09063132,0.000779573,-0.003207737,0.744504747,0.744504747,1.410884962,0.179544146,0.410934976,0.835502808,0.751358816,0.665858695
1982,5,-0.573933357,-0.495305772,-0.324977217,-0.644077589,-0.746840683,-0.425823864,-0.816671674,-0.839037054,-0.883450609,-0.565470495,-0.662227996,-0.658691107,-0.699512037,-0.569643894,-0.569643894,-0.565715828,-0.741817901,-0.526269502,-0.718234387,-0.37069499,-0.383960528,-0.79405034,-0.748012529,-0.805640429,-0.339319746,-0.339319746,-0.396540992,-0.992005499,-0.753428057,-0.618781157,-0.73596432,-0.91403355
1982,6,-1.51570223,-1.605247964,-1.530026022,-1.458367467,-1.53982783,-1.520468018,-0.889629032,-1.032274875,-1.094332598,-1.388288522,-1.133436518,-1.251081419,-1.296586877,-1.405910282,-1.405910282,-1.271945478,-1.111992567,-1.242613427,-1.093758977,-1.391372611,-1.324442054,-1.443985157,-1.539971671,-1.321560258,-1.449473403,-1.449473403,-1.358150275,-1.278224465,-1.149338241,-1.09935227,-1.110712698,-0.92637499
1982,7,-1.00685689,-1.0337368,-0.92856859,-0.852274533,-1.04910195,-0.98520134,-1.28101082,-1.094057244,-1.062271995,-0.875337865,-1.206779566,-0.796292248,-1.084200624,-0.950730808,-0.950730808,-1.296222252,-1.314466127,-1.052241358,-1.304504641,-0.618513563,-1.025700817,-0.963016971,-1.050059856,-1.025669096,-1.343608821,-1.343608821,-0.794697577,-1.075720807,-1.175964171,-1.291339308,-1.166407407,-1.134113468
1982,8,0.114303274,-0.51994983,0.196825994,-0.109592172,0.055101281,0.045237515,0.477796476,0.293311029,0.146555142,0.736602296,0.745153099,0.899502403,0.785362638,0.775568281,0.775568281,0.631803079,0.566558832,0.441035553,0.531348595,-0.014866553,-0.278254297,-0.159091205,0.053290681,0.229419093,-0.523164783,-0.523164783,0.923393567,0.060303257,0.176155706,0.549343527,0.48762945,0.447997202
1982,9,-0.437074573,-0.311878023,-0.543186056,-0.611483101,-0.52523059,-0.560711457,-0.629801038,-0.625604464,-0.610946417,-0.712212229,-0.727150279,-0.74924002,-0.750001603,-0.758985475,-0.758985475,-0.752821587,-0.697039699,-0.696784635,-0.668422713,-0.63804901,-0.74779188,-0.578728881,-0.523977449,-0.537723383,-0.849871752,-0.849871752,-0.94755994,-0.55771336,-0.571722243,-0.618265091,-0.755486539,-0.631515351
1982,10,0.201405097,0.275706605,0.188126223,0.185110612,0.087930512,0.272073668,-0.074318074,-0.008023865,0.012605933,-0.256149338,-0.225530314,-0.184415981,-0.290947715,-0.245504816,-0.245504816,-0.283337746,-0.177086468,-0.201917253,-0.163058907,0.308176277,-0.089245137,0.078324626,0.089550282,0.058399614,-0.371948073,-0.371948073,-0.290282798,0.077447945,0.008437123,-0.126135591,-0.124815854,-0.10024715
1982,11,0.913729623,0.94934475,0.793314325,0.852501139,0.84894226,0.829451241,0.752813656,0.742943667,0.807892396,0.453677669,0.612726629,0.377973458,0.644426057,0.57945988,0.57945988,0.828702622,0.720563841,0.796773982,0.687308045,0.803550634,0.911247717,0.813603231,0.849490745,0.814825377,0.777739649,0.777739649,0.363522799,0.860008176,0.823456272,0.814127406,0.624706602,0.668314054
