Substance,ISO,Country,Subnational code *,Subnational desc,Sector,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
CO2,ABW,Aruba,,,Buildings,20.195578069048,26.065615526445,25.015368039576,23.974949583508,25.917695369705,27.831235782715,17.332392630015,28.267057252815,28.644719190565,28.533984008558,17.459499592365,17.558147763683,17.750107734519,21.034444134015,21.43787480821,23.632091190142,25.517202167143,25.679869626902,24.781961977542,28.336116489718,31.15203285828,18.043531225572,25.271091167108,30.062845125326,33.925451349012,36.35184512395,45.249941682292,38.72107552316,42.331907490323,47.292316839737,41.020871079062,41.918181682281,43.014892679007,42.927792378849,44.577114729282
CO2,ABW,Aruba,,,Dom_Avi,6.7922558405061,8.1483311253975,8.0354364604861,7.2825716848847,10.24495055304,11.922449274145,8.7390156540334,17.686902775884,14.951752695582,15.690001070849,15.03903624787,11.683964087053,11.76347363207,12.943258267583,13.062546110469,14.259453389655,14.391546732571,15.740461046684,16.568829333761,14.957832714001,14.250472387243,14.101488005817,14.210770267917,17.303089023401,18.429354413771,18.900723270807,18.986392941593,19.690313259755,16.548710048939,23.258371105943,12.101408870993,12.627120001573,13.360779034087,15.254929055386,15.398729666933
CO2,ABW,Aruba,,,Dom_Ship,2.0797118941635,2.3717005393369,1.8983065823943,2.7196057017875,2.7337518269701,2.8737135492448,1.8419489685767,2.7940076905911,2.6616807654675,2.7846948445559,2.1166644282331,2.1578040910999,2.3748073887408,2.7954145797098,3.0904818183987,3.601218241477,4.6047975278021,4.1287299215499,4.1751026065645,4.1796508812275,4.1162892193564,3.1749970129145,7.3848723124829,8.2339040762129,9.1914386083415,9.6370725081391,10.209681172771,9.763252727853,9.5948357470367,10.385223406467,10.644314650531,10.828778216144,11.458058833128,12.209959001984,11.360622464248
CO2,ABW,Aruba,,,Energy,109.10018129411,118.31579181459,135.81923871618,136.07637523374,155.41285011893,170.63255861859,112.45343267951,183.81376008857,186.2125100183,186.21674974336,143.59356660619,146.61619286857,156.34184163135,186.02607059353,192.41700657583,212.76155610455,235.90290008639,258.88821867075,256.29083924126,272.51066040142,254.05815582843,156.2532535874,197.64646966532,213.85209914078,222.23802609208,230.10216499696,240.80793393725,223.43254918674,225.84786620668,244.5368756659,251.29352081698,256.13248707445,271.01220518815,270.46343607707,280.85487168037
CO2,ABW,Aruba,,,Industry,10.450868168613,10.950654599406,9.9889545249267,9.3571745679996,10.187808768767,11.608856886942,7.8665497801237,11.195298906095,11.431199643718,12.165488465522,8.3072673409005,9.5221734038134,20.200628027238,19.753888358667,18.802389355265,17.499328827217,16.857326645581,16.381936848979,13.365439307207,16.257727314768,18.298446790644,12.198396552152,20.537924077508,22.459202060329,24.771658989798,26.905719456574,24.486014249177,35.956994709738,30.693814505357,29.435277296311,30.578942549048,36.60151894509,38.705097582513,38.673453095091,40.120470567575
CO2,ABW,Aruba,,,Transport,52.397019695463,60.559188386613,69.996444207832,72.170721898577,81.336175596637,89.570985536133,58.602433218741,99.285513941267,107.3361194056,110.46816201439,82.428808245721,84.318463390348,88.547787893384,99.811546553951,100.54030046547,113.57044992798,126.92039493921,137.24415250669,139.36495728904,157.0771110503,160.92281156508,86.96085942375,110.31073466213,120.84725406923,132.56285723821,140.62798458517,145.65369690901,139.54088490625,140.27753806853,154.63860527228,143.09583924138,149.24243174423,157.91403064162,157.59427256224,163.64917875781
CO2,AFG,Afghanistan,,,Agriculture,69.404749361913,68.461893190573,62.542846800113,62.857131428571,,,7.8571414285714,7.8571414285714,8.6428555714286,7.8571414285714,7.8571414285714,38.028566171611,32.685708342857,36.142850571429,40.857135428571,50.285708000314,,,,,,,62.857131428571,55.157132828571,84.49046090477,116.96664589529,163.00949489532,311.29994454298,161.33330510488,151.27616476211,64.795227495368,40.490469019069,53.114276514336,52.359990800035,51.831990800025
CO2,AFG,Afghanistan,,,Buildings,377.5888668375,359.18445517039,238.57487514415,234.4449587474,229.04090873067,96.894843033862,83.764259063727,87.192848949069,81.235647458728,81.936724583515,33.979664415676,38.341924306358,29.571730549668,41.19276148776,39.572699804647,53.263628710716,68.568829006517,98.19756673523,207.2377311946,364.89739717076,467.04968265099,695.95632128501,632.47326162367,616.42878299506,550.20552707632,779.87678150828,620.52611616742,850.78311181093,1168.5006344766,1207.9204721147,1265.5209724572,1231.5275232499,1098.2897140838,1093.098761,1143.0967890451
CO2,AFG,Afghanistan,,,Dom_Avi,132.0736658835,121.78475281676,62.404083917689,64.609697125416,60.832073452677,61.730093151954,69.120512740298,71.501585006016,64.696444014968,59.056655187971,38.926009168163,36.265971615789,19.109598464903,24.980316006885,21.06578114053,52.799658742479,64.520480621291,71.527008280876,169.77255437928,334.83061186933,542.32229985472,1083.1778237531,512.50575975916,330.28006852325,256.77898624089,184.91079400753,115.36026219534,351.50720888355,434.18024626387,220.48093645649,219.34516675716,227.77429932327,203.13168786976,270.52614290146,304.73450898552
CO2,AFG,Afghanistan,,,Dom_Ship,76.625291598585,72.912042925068,44.649343314894,37.664164881244,46.138095887116,47.767759522727,43.679931966127,45.343585473722,43.674157925025,45.476492531138,31.889775603269,31.949446240879,29.156183448474,36.40385818941,33.885942211477,50.634091356708,64.863930725968,58.567605809687,130.94309167384,181.87821644334,194.59694936396,238.05649733342,230.63415778048,155.19585998192,130.28739003155,147.15588639963,127.68519755082,192.76543254581,288.10389212449,311.72230445534,254.73212613364,308.61014653517,275.22203872398,265.63579519993,285.97070736912
CO2,AFG,Afghanistan,,,Energy,600.91937731876,601.13915780625,338.79541906797,358.22867780626,311.97142564496,412.74179211428,428.72272191808,429.07994514596,511.01833268286,479.02102466157,355.12533837474,314.63014208546,292.51900310294,343.83442006158,306.49563401679,437.32542833161,484.51167813156,694.60757034415,1226.2316520452,1759.9445796375,2115.3233690407,2668.9681111571,2303.4497702178,2119.79814182,2183.5870347702,2358.7779664867,2343.2793244899,3050.0280446957,3280.6611462992,3277.4614949847,3097.5842991507,3028.3871303824,2743.0271494666,2819.4204752412,2909.9605312084
CO2,AFG,Afghanistan,,,Industry,921.16651727274,893.18123402472,613.44734815755,563.10997744715,587.47313511123,506.64993574613,469.18803077763,447.48340046726,434.48007958558,431.29610922152,394.68908987337,326.93132890292,403.89460760561,346.98083591187,301.68701279203,379.17175712642,399.98298771293,771.80693407743,1157.6073085372,1616.5806249542,1978.1625858968,3707.8803465991,2983.679045836,3001.655906227,3192.7520790262,2767.6754025751,2755.7789219188,3364.4240377701,3139.8888649021,3277.8661531674,3272.1166382192,3645.7334379276,3354.4853891735,3593.7809246826,3656.4529617858
CO2,AFG,Afghanistan,,,Transport,730.6031919744,716.54991376677,450.25556477867,451.94853004306,438.21890272508,326.82515177417,303.28318942961,285.01432817559,265.57885924831,258.66171660006,146.80338005854,154.02055555394,131.8965815304,187.69814398456,158.81087912373,252.80421044258,336.04448327346,369.53881356011,1011.1370364415,1907.7869667897,2570.9035149064,3129.0360063959,3158.828074929,2150.1851373798,1560.6839975503,2071.792057793,1486.053879956,2276.4400965383,3337.259473318,3657.9102056352,3969.4731226677,4003.8683099334,3570.6936097089,3553.8170945533,3716.367682936
